link,category,title,abstract,keywords,ccs_concepts,author_names,author_affiliations,author_countries
https://neurips.cc/virtual/2018/workshop/10939,Transparency & Explainability,Workshop on Security in Machine Learning,,[],[],"['Nicolas Papernot', 'Jacob Steinhardt', 'Matt Fredrikson', 'Kamalika Chaudhuri', 'Florian Tramer']",[],[]
https://neurips.cc/virtual/2018/workshop/10940,Transparency & Explainability,"Workshop on Ethical, Social and Governance Issues in AI",,[],[],"['Chloe Bakalar', 'Sarah Bird', 'Tiberio Caetano', 'Edward W Felten', 'Dario Garcia', 'Isabel Kloumann', 'Finnian Lattimore', 'Sendhil Mullainathan', 'D. Sculley']",[],[]
https://neurips.cc/virtual/2018/workshop/10908,Transparency & Explainability,"Challenges and Opportunities for AI in Financial Services: the Impact of Fairness, Explainability, Accuracy, and Privacy",,[],[],"['Manuela Veloso', 'Nathan Kallus', 'Sameena Shah', 'Senthil Kumar', 'Isabelle Moulinier', 'Jiahao Chen', 'John Paisley']",[],[]
https://neurips.cc/virtual/2018/workshop/10917,Transparency & Explainability,"Interpretability and Robustness in Audio, Speech, and Language",,[],[],"['Mirco Ravanelli', 'Dmitriy Serdyuk', 'Ehsan Variani', 'Bhuvana Ramabhadran']",[],[]
https://neurips.cc/virtual/2018/workshop/10925,Transparency & Explainability,Machine Learning for Systems,,[],[],"['Anna Goldie', 'Azalia Mirhoseini', 'Jonathan Raiman', 'Kevin Swersky', 'Milad Hashemi']",[],[]
https://neurips.cc/virtual/2018/workshop/10936,Fairness & Bias,Smooth Games Optimization and Machine Learning,,[],[],"['Simon Lacoste-Julien', 'Ioannis Mitliagkas', 'Gauthier Gidel', 'Vasilis Syrgkanis', 'Eva Tardos', 'Leon Bottou', 'Sebastian Nowozin']",[],[]
https://neurips.cc/virtual/2018/workshop/10929,Fairness & Bias,Reinforcement Learning under Partial Observability,,[],[],"['Joni Pajarinen', 'Chris Amato', 'Pascal Poupart', 'David Hsu']",[],[]
https://neurips.cc/virtual/2018/workshop/10938,Fairness & Bias,Wordplay: Reinforcement and Language Learning in Text-based Games,,[],[],"['Adam Trischler', 'Angeliki Lazaridou', 'Yonatan Bisk', 'Wendy Tay', 'Nate Kushman', 'Marc-Alexandre Côté', 'Alessandro Sordoni', 'Daniel Ricks', 'Tom Zahavy', 'Hal Daumé III']",[],[]
https://neurips.cc/virtual/2018/workshop/10934,Privacy & Data Governance,Privacy Preserving Machine Learning,,[],[],"['Adria Gascon', 'Aurélien Bellet', 'Niki Kilbertus', 'Olga Ohrimenko', 'Mariana Raykova', 'Adrian Weller']",[],[]
https://neurips.cc/virtual/2018/workshop/10939,Security,Workshop on Security in Machine Learning,,[],[],"['Nicolas Papernot', 'Jacob Steinhardt', 'Matt Fredrikson', 'Kamalika Chaudhuri', 'Florian Tramer']",[],[]
https://neurips.cc/virtual/2018/workshop/10934,Security,Privacy Preserving Machine Learning,,[],[],"['Adria Gascon', 'Aurélien Bellet', 'Niki Kilbertus', 'Olga Ohrimenko', 'Mariana Raykova', 'Adrian Weller']",[],[]
https://neurips.cc/virtual/2018/workshop/10925,Security,Machine Learning for Systems,,[],[],"['Anna Goldie', 'Azalia Mirhoseini', 'Jonathan Raiman', 'Kevin Swersky', 'Milad Hashemi']",[],[]
